Índice;Torrent;Titulo (Año);Titulo;Año;Calidad;Resolucion;Tipo;Idioma;Capitulo;Índice;Magnet;Infohash;ID
1;(2023) [Bluray][480p][Esp].torrent;(2023);;2023;Bluray;SD;Pelicula;Castellano;;1;magnet:?xt=urn:btih:58bba6ec1153210d86723911631a1e0e736c6413;58bba6ec1153210d86723911631a1e0e736c6413;24f4a503cf857813ee2595fd1bc657757051b9d3
2;(2023) [Bluray][720p][Esp].torrent;(2023);;2023;Bluray;HD;Pelicula;Castellano;;2;magnet:?xt=urn:btih:6e2b386a7ad8846f16f22750cc8fa3d1b390d604;6e2b386a7ad8846f16f22750cc8fa3d1b390d604;1a9a7b8a10e599f78ad71114a5411da0d32b914b
3;10 dias de un mal hombre (2023) [Bluray][480p][Esp].torrent;10 dias de un mal hombre (2023);10 dias de un mal hombre;2023;Bluray;SD;Pelicula;Castellano;;3;magnet:?xt=urn:btih:378d9a1cf98b244b56dc8a3a7f5deee5e8695540;378d9a1cf98b244b56dc8a3a7f5deee5e8695540;97a67cd5c67156fd8939058a118f769f4c56d764
4;20 000 especies de abejas (2023) [Bluray][480p][Esp].torrent;20 000 especies de abejas (2023);20 000 especies de abejas;2023;Bluray;SD;Pelicula;Castellano;;4;magnet:?xt=urn:btih:be3076930e84ae294ac6dcff6ca9ae8977fd7f73;be3076930e84ae294ac6dcff6ca9ae8977fd7f73;59291a2c05f3d1e6f1c3d78719afbc9f0ab67500
5;20 000 especies de abejas (2023) [Bluray][720p][Esp].torrent;20 000 especies de abejas (2023);20 000 especies de abejas;2023;Bluray;HD;Pelicula;Castellano;;5;magnet:?xt=urn:btih:1a3288ac14f5e046d51ba1c6c7df068f43bb1cef;1a3288ac14f5e046d51ba1c6c7df068f43bb1cef;3546e0aaa175fc3ff22af9fb58ae000f040dbe18
6;9-1-1 Lone Star [HDTV][1080p][Cap 418].torrent;9-1-1 Lone Star;9-1-1 Lone Star;;HDTV;FHD;Serie;;418;6;magnet:?xt=urn:btih:9489b04288fb2c4154be75d8cb4d93d95b879fed;9489b04288fb2c4154be75d8cb4d93d95b879fed;0
7;9-1-1 Lone Star [HDTV][480p][Cap 418].torrent;9-1-1 Lone Star;9-1-1 Lone Star;;HDTV;SD;Serie;;418;7;magnet:?xt=urn:btih:60235a0355b161e7f9846bde5205232f7543b87c;60235a0355b161e7f9846bde5205232f7543b87c;0
8;9-1-1 Lone Star [HDTV][720p][Cap 418].torrent;9-1-1 Lone Star;9-1-1 Lone Star;;HDTV;HD;Serie;;418;8;magnet:?xt=urn:btih:2d9cef3766c199d1619bd452b4338b542d5b4ad8;2d9cef3766c199d1619bd452b4338b542d5b4ad8;0
9;911 [HDTV][1080p][Cap 618].torrent;911;911;;HDTV;FHD;Serie;;618;9;magnet:?xt=urn:btih:c6e702530b08aff96b7f225be1dd7fd35884922d;c6e702530b08aff96b7f225be1dd7fd35884922d;b92fbdd623761c2e5534a7b944bee3d9adbd1713
10;911 [HDTV][480p][Cap 618].torrent;911;911;;HDTV;SD;Serie;;618;10;magnet:?xt=urn:btih:00c6821163fdc18630649c58ab12676efc683b1c;00c6821163fdc18630649c58ab12676efc683b1c;0
11;911 [HDTV][720p][Cap 618].torrent;911;911;;HDTV;HD;Serie;;618;11;magnet:?xt=urn:btih:fdb7da3e6e5e7645d02bc1130a8335be16dcda7c;fdb7da3e6e5e7645d02bc1130a8335be16dcda7c;4776a6f0c3d7e129cc08903fa76fd9cba2a3b84e
12;97 minutos  (2023) [Bluray][1080p][Esp].torrent;97 minutos  (2023);97 minutos;2023;Bluray;FHD;Pelicula;Castellano;;12;magnet:?xt=urn:btih:5d3d9db17fef4174bd7a02d9789347734e182e3d;5d3d9db17fef4174bd7a02d9789347734e182e3d;272c7a43320804a730c4d1398e97967aba5527c5
13;97 minutos  (2023) [Bluray][480p][Esp].torrent;97 minutos  (2023);97 minutos;2023;Bluray;SD;Pelicula;Castellano;;13;magnet:?xt=urn:btih:497c7fe8423e6fc7f3c3191f53f8a1111973676e;497c7fe8423e6fc7f3c3191f53f8a1111973676e;350af0a766aba1e68ba96f2c2e4b358e96445d34
14;97 minutos  (2023) [Bluray][720p][Esp].torrent;97 minutos  (2023);97 minutos;2023;Bluray;HD;Pelicula;Castellano;;14;magnet:?xt=urn:btih:8a78f356ab796be778ce77c4573035dd0e089c04;8a78f356ab796be778ce77c4573035dd0e089c04;8953cdd8a0f5621a3bc972c78259f65b30a5decc
15;A Dios pongo por testigo (2023) [Bluray][480p][Esp].torrent;A Dios pongo por testigo (2023);A Dios pongo por testigo;2023;Bluray;SD;Pelicula;Castellano;;15;magnet:?xt=urn:btih:57d2464a57376786e1bc32981ba95a84aa01266c;57d2464a57376786e1bc32981ba95a84aa01266c;4fb6df9b5b23edf22d2d9c62561559a4bc055b00
16;A Dios pongo por testigo (2023) [Bluray][720p][Esp].torrent;A Dios pongo por testigo (2023);A Dios pongo por testigo;2023;Bluray;HD;Pelicula;Castellano;;16;magnet:?xt=urn:btih:049962cdfcbc192e4b0dbed3d3a38b707d0d9784;049962cdfcbc192e4b0dbed3d3a38b707d0d9784;eb7b116f378c41ce601b186db0031d83d7793d9f
